Date;RR;DD;FF;FFX;PP;PP0;RAD;RH;TF;TT;TT5;TD;TX;TN;SO
201301010000;0;30;1;3;973.5;1020.7;0;96;-2.4;-2.1;-4.3;-2.6;-1.8;-2.1;0
201301010100;0;40;1;2;973;1020.2;0;96;-2.4;-2.1;-4.6;-2.6;-1.9;-2.2;0
201301010200;0;110;1;2;972.4;1019.6;0;96;-2.6;-2.3;-4.6;-2.8;-2;-2.4;0
201301010300;0;60;1;2;971.5;1018.7;0;97;-3;-2.8;-5;-3.2;-2.2;-2.8;0
201301010400;0;60;2;3;970.7;1017.9;0;97;-3.2;-3;-5.3;-3.4;-2.7;-3;0
201301010500;0;20;1;2;970.3;1017.6;0;97;-3.5;-3.3;-5.8;-3.7;-2.9;-3.4;0
201301010600;0;50;1;2;969.9;1017.2;0;97;-3.9;-3.7;-6.2;-4.1;-3.3;-3.9;0
201301010700;0;40;0;2;969.7;1017.1;2;97;-4.2;-4;-6.2;-4.4;-3.7;-4.1;0
201301010800;0;100;1;1;969.5;1016.6;62;97;-3;-2.8;-5;-3.2;-2.8;-4.1;52.6
201301010900;0;230;0;1;969.2;1015.8;178;81;-1.7;0.1;-0.3;-2.7;0.1;-2.7;60
201301011000;0;200;1;2;968.7;1015.1;262;76;-1.4;0.9;-0.9;-2.8;1.2;0;60
201301011100;0;210;1;3;968.2;1014.6;307;79;-0.9;1.1;0;-2.1;1.3;0.7;60
201301011200;0;220;1;3;967.9;1014;308;72;-0.2;2.6;1;-1.9;2.8;1.1;60
201301011300;0;210;1;3;967.4;1013.2;270;67;0.6;4;2.1;-1.5;4;2.5;60
201301011400;0;290;1;2;967.7;1013.6;140;68;0.5;3.8;2.9;-1.5;4.2;3.7;32.9
201301011500;0;30;1;3;967.9;1013.9;47;71;0.4;3.3;1.1;-1.4;3.8;3.1;13.5
201301011600;0;50;1;3;968.5;1014.7;1;74;-0.3;2.3;-0.7;-1.8;3.4;2.3;0
201301011700;0;30;1;3;969;1015.4;0;81;-0.9;0.9;-1.9;-2;2.3;0.9;0
201301011800;0;30;1;2;969.5;1016.2;0;88;-1.6;-0.5;-3;-2.2;0.9;-0.5;0
201301011900;0;50;1;2;969.7;1016.5;0;93;-1.7;-1.1;-3.9;-2.1;-0.4;-1.1;0
201301012000;0;50;1;2;970;1016.9;0;94;-1.9;-1.4;-4.3;-2.2;-1.1;-1.4;0
201301012100;0;360;1;3;970.1;1017.1;0;96;-2.1;-1.8;-4.3;-2.3;-1.5;-1.8;0
201301012200;0;30;1;2;970.4;1017.5;0;96;-2.5;-2.2;-5.1;-2.7;-1.8;-2.3;0
201301012300;0;40;2;2;970.9;1018;0;97;-2.8;-2.5;-5;-2.9;-2.2;-2.6;0
201301020000;0;50;1;2;970.9;1018;0;97;-2.8;-2.5;-4.9;-2.9;-2.1;-2.6;0
201301020100;0;40;1;2;971.5;1018.7;0;97;-2.9;-2.6;-5;-3;-2.5;-2.7;0
201301020200;0;70;1;2;972.1;1019.3;0;97;-3;-2.7;-4.5;-3.1;-2.6;-2.8;0
201301020300;0;80;1;2;972.3;1019.6;0;97;-3.2;-3;-5;-3.4;-2.5;-3;0
201301020400;0;170;0;2;972.9;1020.2;0;97;-3.1;-2.9;-5.1;-3.3;-2.9;-3.1;0
201301020500;0;90;1;1;973.1;1020.5;0;98;-3.3;-3.1;-4.8;-3.4;-2.8;-3.3;0
201301020600;0;110;1;2;973.5;1020.9;0;98;-3.2;-3;-4.1;-3.3;-2.9;-3.3;0
201301020700;0;180;0;2;974.5;1021.8;6;95;-2.8;-2.4;-3.5;-3.1;-2.4;-3;0
201301020800;0;140;1;2;975.4;1022.7;60;94;-2.7;-2.2;-1.5;-3;-2.2;-2.5;5.1
201301020900;0;210;1;2;976.7;1023.9;162;90;-2.1;-1.2;-0.1;-2.6;-1.2;-2.2;38.2
201301021000;0;160;1;2;977.1;1024.1;198;84;-1.4;0.1;1.1;-2.3;0.1;-1.2;23.4
201301021100;0;200;1;2;977.5;1024.2;279;75;-0.6;1.8;3.1;-2.1;1.8;0;59.5
201301021200;0;230;1;3;977.9;1024.6;151;77;-0.3;1.9;3.5;-1.7;2;1.5;1.6
201301021300;0;210;0;3;978.6;1025.1;230;72;0.4;3.2;5;-1.3;3.3;1.8;46
201301021400;0;170;1;3;979.5;1026.2;110;76;0.2;2.6;2.3;-1.2;3.3;2.6;12.7
201301021500;0;80;1;3;980.5;1027.2;58;79;0.4;2.4;1.1;-0.8;2.6;2.3;12.5
201301021600;0;190;1;2;981.4;1028.2;4;81;0.3;2.1;0.6;-0.8;2.4;2;0
201301021700;0;160;1;2;982.2;1029.1;0;86;0.5;1.8;0.6;-0.3;2.2;1.8;0
201301021800;0;160;1;4;983.4;1030.6;0;94;0.2;0.7;0.3;-0.1;1.8;0.7;0
201301021900;0;140;1;2;984.3;1031.5;0;95;0.2;0.6;-0.1;-0.1;0.7;0.6;0
201301022000;0;130;1;2;984.8;1032;0;95;NaN;0.7;-0.1;0;0.8;0.6;0
201301022100;0;200;1;2;985.5;1032.7;0;94;NaN;0.8;-0.2;0;0.9;0.7;0
201301022200;0;20;1;2;985.9;1033.3;0;95;-0.1;0.3;-0.8;-0.4;0.8;0.3;0
201301022300;0;30;1;1;986.3;1033.7;0;95;-0.2;0.2;-1.2;-0.5;0.6;0.2;0
201301030000;0;0;1;2;986.6;1034;0;95;-0.3;0.1;-1.4;-0.6;0.2;0;0
201301030100;0;40;1;2;987.1;1034.7;0;97;-1;-0.7;-3.1;-1.1;0.1;-0.8;0
201301030200;0;30;1;3;987.3;1035;0;98;-1.4;-1.2;-3.9;-1.5;-0.7;-1.2;0
201301030300;0;30;1;2;986.9;1034.7;0;98;-1.8;-1.6;-4.1;-1.9;-0.9;-1.7;0
201301030400;0;30;2;3;987;1034.7;0;98;-1.7;-1.5;-3.6;-1.8;-1.5;-1.8;0
201301030500;0;30;1;2;987.3;1035;0;97;-1.6;-1.4;-2.9;-1.8;-1.3;-1.5;0
201301030600;0;60;1;2;987.7;1035.6;0;97;-2.4;-2.1;-4.7;-2.5;-1.4;-2.1;0
201301030700;0;40;1;1;988;1036;2;97;-2.8;-2.5;-4.8;-2.9;-2.1;-2.6;0
201301030800;0;20;1;2;988.1;1036;43;97;-2.1;-1.9;-3.1;-2.3;-1.9;-2.5;6.7
201301030900;0;300;1;4;987.9;1035.2;124;75;-1.2;1.2;0.3;-2.7;1.2;-1.8;25.8
201301031000;0;280;1;5;987.5;1034.5;236;67;-0.6;2.8;3.5;-2.7;3.1;1.1;31.2
201301031100;0;200;1;3;986.6;1033.6;182;72;0;2.8;5.6;-1.7;3.3;2.5;7
201301031200;0;230;1;3;986;1032.7;194;63;0.1;4;6;-2.3;4;2.8;10.2
201301031300;0;210;1;2;985.4;1031.9;171;62;0.9;5;4.6;-1.6;5;3.8;27.8
201301031400;0;220;0;2;985.2;1031.6;173;56;0.9;5.9;7.7;-2.1;6.1;4.8;37.6
201301031500;0;220;1;2;985.1;1031.5;47;59;0.9;5.5;4.1;-1.8;6.3;5.4;16.6
201301031600;0;220;1;4;984.9;1031.6;4;68;0.6;3.9;2;-1.4;5.4;3.9;0
201301031700;0;90;0;2;984.7;1031.6;0;75;0.4;2.8;0.4;-1.1;3.9;2.8;0
201301031800;0;80;1;3;984.8;1031.8;0;81;0;1.8;-0.5;-1.1;2.8;1.8;0
201301031900;0;70;1;2;984.6;1031.8;0;86;-0.2;1.1;-1;-1;1.7;0.9;0
201301032000;0;70;1;2;984.6;1031.8;0;87;-0.5;0.7;-0.6;-1.2;1.1;0.7;0
201301032100;0;40;1;3;984.6;1031.8;0;85;-0.3;1.1;-0.1;-1.1;1.2;0.6;0
201301032200;0;60;1;3;984.3;1031.4;0;85;-0.3;1.1;0.3;-1.1;1.1;0.9;0
201301032300;0;40;1;2;984.2;1031.2;0;84;0.1;1.6;0.7;-0.8;1.9;1.2;0
201301040000;0;0;1;2;983.6;1030.6;0;85;0.4;1.8;0.2;-0.4;1.8;1.2;0
201301040100;0;140;0;3;983.4;1030.3;0;84;0.5;2;0.5;-0.4;2.1;1.7;0
201301040200;0;90;1;4;982.9;1029.8;0;86;0.6;1.9;0.2;-0.2;2.2;1.9;0
201301040300;0;330;0;4;982.9;1029.9;0;89;0.5;1.5;-0.7;-0.1;1.9;1.2;0
201301040400;0;20;0;3;983;1030;0;89;0.4;1.4;-0.8;-0.2;1.8;1.4;0
201301040500;0;30;1;3;983.1;1030.2;0;94;0.7;1.2;-1.1;0.4;1.5;1;0
201301040600;0;70;1;4;983.2;1030.2;0;92;0.8;1.5;-0.1;0.4;1.6;1.2;0
201301040700;0;320;1;2;983.3;1030.3;4;93;0.9;1.5;-0.7;0.5;1.6;1.4;0.6
201301040800;0;40;0;3;983.1;1030;32;92;1.3;2;0.3;0.9;2;1.5;13.8
201301040900;0;100;2;2;983.4;1030.1;64;90;2.1;3;2.2;1.5;3;1.9;0
201301041000;0;300;2;11;983.2;1028.9;77;54;3.9;9.3;7.4;0.6;10.3;3.1;0
201301041100;0;230;3;6;983.1;1028.7;101;54;4.3;9.8;8.7;1;10;8.7;0
201301041200;0;210;2;5;982.1;1027.7;93;57;4.2;9.2;8.5;1.2;10.1;8.7;0
201301041300;0;350;1;5;981.3;1026.6;160;51;5.2;11.3;10.2;1.6;11.5;8.7;24
201301041400;0;310;1;5;981.1;1026.5;100;52;4.8;10.7;8.7;1.3;11.6;9.8;10.4
201301041500;0;260;1;5;981;1026.6;50;56;4.2;9.3;6;1.1;11.3;8.8;0
201301041600;0;100;1;3;980.7;1026.7;4;66;3.2;6.8;3.8;1;9.3;6.8;0
201301041700;0;50;1;3;980.4;1026.6;0;73;2.8;5.5;2.2;1.1;7.3;5.5;0
201301041800;0;350;2;4;980;1026.2;0;76;2.9;5.3;2;1.5;5.8;5;0
201301041900;0;300;2;4;979.5;1025.7;0;78;2.9;5.1;2.5;1.6;5.8;5;0
201301042000;0;300;1;4;978.7;1024.9;0;81;3.2;5.1;2.9;2.1;5.6;5.1;0
201301042100;0;300;2;5;978.4;1024.3;0;80;4.5;6.5;2.8;3.3;6.5;5.1;0
201301042200;0;310;2;6;978;1023.5;0;72;6;8.9;6.2;4.2;9.1;6.1;0
201301042300;0;330;2;7;977.3;1022.7;0;72;6;8.9;6.5;4.2;9;8.5;0
201301050000;0;280;3;7;975.8;1021.3;0;75;5.7;8.3;6.2;4.2;8.8;8.2;0
201301050100;0;270;1;6;975.6;1021.1;0;75;5.4;8;5.1;3.9;8.5;7.9;0
201301050200;0;300;1;5;975.2;1021.1;0;83;4.3;5.9;2.7;3.3;8.1;5.9;0
201301050300;0;70;1;2;975.4;1021.5;0;90;3.6;4.5;1.3;3;6;4.5;0
201301050400;0;240;1;3;975.2;1021.5;0;95;3;3.4;0.3;2.7;4.8;3.4;0
201301050500;0;250;3;7;974.8;1020.5;0;79;4.7;6.8;1.8;3.5;6.8;3.2;0
201301050600;0;310;3;9;974.9;1020.4;0;69;4.7;8;3.9;2.7;8.2;6;0
201301050700;0;310;5;11;974.9;1020.3;4;66;5;8.7;6.4;2.8;8.7;7.9;0.9
201301050800;0;310;5;10;974.7;1019.8;93;61;5.8;10.2;8.7;3.1;10.2;8.6;60
201301050900;0;290;3;9;975.1;1020.2;106;58;5.6;10.5;9;2.7;10.5;9.8;16
201301051000;0;300;4;11;974.9;1019.8;173;54;6.2;11.8;10.3;2.9;11.8;10.5;38.6
201301051100;0;320;6;12;974.8;1019.6;206;49;5.9;12.3;10.9;2;12.4;11.8;31.5
201301051200;0;320;7;16;974.5;1019.3;134;48;5.8;12.4;11.3;1.8;12.4;12.2;10.7
201301051300;0;310;5;14;974.5;1019.3;194;47;5.5;12.3;11;1.4;12.7;12.3;38.5
201301051400;0;320;5;13;974.8;1019.7;87;48;5.3;11.9;10.5;1.3;12.2;11.8;17.5
201301051500;0;320;5;13;975.2;1020.2;69;49;4.7;11.1;9.2;0.9;12;11.1;36.2
201301051600;0;330;3;12;976;1021.2;2;51;4.5;10.5;7.7;0.9;11.1;10.3;0
201301051700;0;340;4;11;976.3;1021.5;0;52;4.4;10.2;7.7;0.9;10.7;10.1;0
201301051800;0;40;1;10;976.7;1022;0;56;4.3;9.5;6.2;1.2;10.3;9.2;0
201301051900;0;120;2;6;977.1;1022.8;0;63;3.6;7.7;4.7;1.2;9.7;7.7;0
201301052000;0;40;1;4;977.5;1023.2;0;65;3.7;7.5;4;1.4;8.3;7.5;0
201301052100;0;330;1;4;977.7;1023.5;0;65;3.5;7.3;3.3;1.2;7.8;7;0
201301052200;0;280;1;6;977.6;1023.2;0;61;4;8.4;3.7;1.4;8.4;6.7;0
201301052300;0;70;1;3;977.5;1023.3;0;67;3.6;7.1;4.9;1.5;8.6;6.9;0
201301060000;0;160;1;4;977.5;1023.3;0;69;3.5;6.8;5.4;1.6;7.4;6.8;0
201301060100;0;240;1;4;977.7;1023.6;0;74;3.5;6.1;3.7;1.9;6.8;6.1;0
201301060200;0;110;0;4;977.8;1023.9;0;78;3.3;5.5;3.1;2;6.1;5.5;0
201301060300;0;40;0;3;977.9;1024;0;81;3.5;5.4;3.6;2.4;5.5;5.3;0
201301060400;0;40;1;2;977.9;1024;0;81;3.5;5.4;3.9;2.4;5.6;5.2;0
201301060500;0;100;1;3;977.8;1023.9;0;82;3.5;5.2;4;2.4;5.5;5.2;0
201301060600;0;80;1;3;978.1;1024.2;0;82;3.5;5.2;3.9;2.4;5.5;5.1;0
201301060700;0;50;1;2;978.4;1024.5;0;83;3.7;5.3;4;2.7;5.4;5.1;0
201301060800;0;130;1;3;978.4;1024.7;30;88;3.3;4.4;4.5;2.6;5.4;4.3;0
201301060900;0;150;2;4;978.4;1024.6;76;88;3.6;4.7;5.8;2.9;4.7;4.4;1.7
201301061000;0;150;3;5;978;1024.2;144;89;3.8;4.8;6.3;3.2;5.3;4.7;14.2
201301061100;0;140;1;4;976.9;1022.9;106;88;4.2;5.3;7.3;3.5;5.3;4.8;0
201301061200;0;150;1;3;975.8;1021.7;135;88;4.5;5.6;8.6;3.8;5.7;5.2;0
201301061300;0;140;1;4;974.8;1020.6;139;86;4.5;5.8;8.5;3.7;5.9;5.4;0
201301061400;0;130;2;4;974.3;1020.1;67;88;4.6;5.7;6.6;3.9;6;5.6;0
201301061500;0;150;1;3;974;1019.9;41;88;4.2;5.3;4.8;3.5;5.8;5.3;0
201301061600;0;100;0;3;973.7;1019.6;2;89;4;5;3.7;3.4;5.3;5;0
201301061700;0;220;1;3;973.5;1019.5;0;93;3.7;4.3;1.6;3.3;4.9;4.3;0
201301061800;0;160;2;5;973.8;1020;0;98;3.3;3.5;1;3.2;4.4;3.5;0
201301061900;0;40;1;5;973.7;1020;0;99;2.9;3;0.3;2.9;3.6;3;0
201301062000;0;150;1;3;973.1;1019.3;0;99;3;3.1;0.5;3;3.1;2.7;0
201301062100;0;140;1;3;973.4;1019.8;0;99;2.3;2.4;-0.3;2.3;3;2.2;0
201301062200;0;140;1;4;973.6;1019.9;0;99;2.6;2.7;0.9;2.6;2.9;2.2;0
201301062300;0;10;0;3;973.7;1020;0;96;2.3;2.7;0.6;2.1;2.9;2.4;0
201301070000;0;50;2;3;973.4;1019.7;0;90;2;2.9;0.6;1.4;2.9;2.6;0
201301070100;0;120;1;3;973.6;1019.9;0;89;2;3;0.8;1.4;3.1;2.6;0
201301070200;0;350;0;2;974.3;1020.5;0;86;2.4;3.7;2.3;1.6;3.8;2.9;0
201301070300;0;20;1;4;974.7;1020.8;0;85;2.7;4.1;1.9;1.8;4.2;3.6;0
201301070400;0;30;0;3;974.7;1020.9;0;86;2.6;3.9;1.6;1.8;4.2;3.9;0
201301070500;0;80;1;3;974.9;1021.1;0;87;2.8;4;1.2;2.1;4.1;3.6;0
201301070600;0;70;1;4;975.6;1021.7;0;84;3.2;4.7;2.7;2.3;4.7;3.7;0
201301070700;0;130;2;5;977.1;1023.3;1;88;3.5;4.6;3.3;2.8;5.1;4;0
201301070800;0;110;3;6;978.7;1025.2;8;88;1.8;2.9;2.7;1.1;4.7;2.9;0
201301070900;0;100;2;5;980;1026.8;17;92;1.2;1.9;1.7;0.8;2.9;1.9;0
201301071000;0.5;150;2;4;980.5;1027.4;40;99;1;1.1;0.9;1;1.9;1.1;0
201301071100;0.4;210;1;4;980.8;1027.8;50;99;0.9;1;1.3;0.9;1.2;0.9;0
201301071200;0.1;160;2;4;980.5;1027.5;78;95;0.4;0.8;2.3;0.1;1.3;0.8;0
201301071300;0;200;1;3;980.7;1027.7;43;97;0.8;1.1;2;0.7;1.1;0.9;0
201301071400;0;150;1;4;981;1028;36;93;0.5;1.1;1.4;0.1;1.2;0.8;0
201301071500;0;240;1;3;981.2;1028.2;14;93;0.5;1.1;1.1;0.1;1.2;1;0
201301071600;0;220;1;3;981.4;1028.4;2;95;0.8;1.2;1;0.5;1.3;1.1;0
201301071700;0;160;2;4;981.8;1028.9;0;96;0.3;0.7;0.6;0.1;1.2;0.7;0
201301071800;0;150;2;4;982.4;1029.5;0;96;0.3;0.7;0.4;0.1;0.8;0.6;0
201301071900;0;220;1;3;982.7;1029.8;0;96;NaN;0.6;0.4;0;0.8;0.6;0
201301072000;0;230;1;3;982.7;1029.8;0;94;0.1;0.6;0.3;-0.2;0.7;0.6;0
201301072100;0;150;1;2;983.2;1030.4;0;96;NaN;0.6;0.3;0;0.7;0.5;0
201301072200;0;150;1;2;983.2;1030.4;0;95;0;0.4;0.3;-0.3;0.6;0.4;0
201301072300;0;170;1;3;983.2;1030.4;0;95;0.1;0.5;0.3;-0.2;0.5;0.4;0
201301080000;0;190;1;3;983;1030.2;0;95;-0.1;0.3;0.3;-0.4;0.5;0.3;0
201301080100;0;180;1;3;982.6;1029.8;0;95;-0.1;0.3;0.1;-0.4;0.4;0.2;0
201301080200;0;140;1;2;982.5;1029.7;0;94;-0.2;0.3;0.1;-0.5;0.3;0.2;0
201301080300;0;340;0;2;982.2;1029.4;0;92;-0.3;0.4;0.2;-0.7;0.4;0.3;0
201301080400;0;330;1;2;981.5;1028.6;0;91;-0.3;0.5;0.1;-0.8;0.5;0.4;0
201301080500;0;340;1;2;981.2;1028.3;0;90;-0.4;0.5;-0.2;-0.9;0.6;0.4;0
201301080600;0;340;0;2;981.4;1028.6;0;91;-0.6;0.2;-1;-1.1;0.5;0.1;0
201301080700;0;10;0;1;981.9;1029;1;93;-0.2;0.4;-0.4;-0.6;0.5;0.2;0
201301080800;0;140;1;2;981.5;1028.6;26;95;0;0.4;0.3;-0.3;0.5;0.3;0
201301080900;0;150;1;3;981.4;1028.5;76;93;0;0.6;1.5;-0.4;0.8;0.5;0
201301081000;0;220;1;3;981.4;1028.4;51;92;0.3;1;2;-0.1;1;0.7;0
201301081100;0;290;0;2;980.5;1027.4;66;86;0.2;1.5;2.8;-0.6;1.5;1;0
201301081200;0;170;1;3;979.8;1026.6;108;88;0.5;1.6;2.9;-0.2;1.9;1.5;0
201301081300;0;150;2;4;978.8;1025.6;86;90;0.8;1.7;3;0.3;1.8;1.5;0
201301081400;0;140;1;3;978.8;1025.6;63;87;0.5;1.7;2.6;-0.2;1.8;1.4;0
201301081500;0;10;0;2;978.7;1025.4;31;85;0.6;2;1.7;-0.2;2.1;1.7;0
201301081600;0;160;1;3;978.6;1025.3;2;87;NaN;1.9;1.2;0;2.1;1.9;0
201301081700;0;110;1;3;978.4;1025.2;0;89;0.5;1.5;0.6;-0.1;1.9;1.5;0
201301081800;0;250;1;3;978;1024.8;0;93;0.9;1.5;0.3;0.5;1.6;1.5;0
201301081900;0;130;2;3;977.8;1024.7;0;96;0.5;0.9;0.2;0.3;1.5;0.9;0
201301082000;0;120;1;2;977.8;1024.6;0;97;0.8;1;0.6;0.6;1;0.8;0
201301082100;0;120;1;3;977.6;1024.5;0;98;0.6;0.8;0.8;0.5;1;0.8;0
201301082200;0;170;1;2;977.9;1024.7;0;97;0.8;1.1;1;0.7;1.2;0.9;0
201301082300;0;230;1;3;977.8;1024.6;0;96;0.8;1.2;1;0.6;1.2;1.1;0
201301090000;0;230;0;2;977.5;1024.3;0;96;0.7;1.1;0.9;0.5;1.2;1.1;0
201301090100;0;180;1;2;977.5;1024.4;0;97;0.6;0.8;0.7;0.4;1.1;0.8;0
201301090200;0;160;1;2;977.4;1024.3;0;97;0.6;0.8;0.7;0.4;0.8;0.6;0
201301090300;0;230;0;1;977;1023.8;0;97;0.7;0.9;0.5;0.5;0.9;0.8;0
201301090400;0;140;1;2;976.9;1023.8;0;98;0.3;0.5;-0.3;0.2;0.8;0.5;0
201301090500;0;110;1;2;976.8;1023.7;0;98;0.3;0.5;-0.1;0.2;0.6;0.5;0
201301090600;0;330;1;1;977.1;1023.9;0;98;0.7;0.9;0.1;0.6;0.9;0.4;0
201301090700;0;10;0;2;977.4;1024.2;2;97;1;1.2;0.5;0.8;1.2;0.9;0
201301090800;0;20;1;2;977.4;1024.1;41;96;1.5;1.9;2.5;1.3;1.9;1.2;0
201301090900;0;10;1;1;977.6;1024.1;69;93;2.1;2.7;3.9;1.7;2.7;1.9;0
201301091000;0;0;0;1;977.6;1023.9;80;89;2.7;3.7;5.5;2.1;3.7;2.6;0
201301091100;0;200;1;2;977.3;1023.5;109;84;2.9;4.4;6.2;2;4.4;3.6;0
201301091200;0;200;0;2;976.6;1022.7;97;82;3;4.7;6.7;1.9;4.8;4.2;0
201301091300;0;160;1;3;976.2;1022.2;144;82;3.5;5.2;7.4;2.4;5.2;4.7;0
201301091400;0;260;0;3;976.2;1022.2;90;83;3.6;5.2;6.3;2.6;5.3;5;0
201301091500;0;170;1;3;975.8;1021.8;38;83;3.5;5.1;4.2;2.5;5.3;5.1;0
201301091600;0;200;1;3;975.5;1021.6;2;85;3;4.4;2.9;2.1;5;4.4;0
201301091700;0;170;1;3;975.1;1021.3;0;88;2.9;4;2.5;2.2;4.4;4;0
201301091800;0;90;1;1;974.5;1020.7;0;92;2.8;3.5;1.7;2.3;4;3.5;0
201301091900;0;140;1;2;973.8;1020;0;94;2.6;3.2;2;2.3;3.5;3.2;0
201301092000;0;150;1;2;973;1019.2;0;96;2.7;3.1;2.7;2.5;3.3;3.1;0
201301092100;0;230;0;2;972.1;1018.3;0;96;2.7;3.1;2.8;2.5;3.1;2.9;0
201301092200;0;40;0;2;971.3;1017.5;0;96;2.6;3;2.8;2.4;3.1;3;0
201301092300;0;140;0;2;970.1;1016.2;0;96;2.5;2.9;2.6;2.3;3;2.9;0
201301100000;0;140;0;2;969;1015.1;0;96;2.5;2.9;2.6;2.3;2.9;2.8;0
201301100100;0;10;1;2;968.5;1014.6;0;96;2.4;2.8;2.6;2.2;2.9;2.8;0
201301100200;0;30;1;2;967.9;1013.9;0;96;2.5;2.9;2.7;2.3;3;2.8;0
201301100300;0;210;1;2;967.4;1013.4;0;97;2.5;2.7;2.6;2.3;2.9;2.7;0
201301100400;0;230;1;3;967.1;1013.1;0;99;2.5;2.6;2.5;2.5;2.7;2.5;0
201301100500;0;130;1;2;967.3;1013.3;0;99;2.6;2.7;2.5;2.6;2.8;2.6;0
201301100600;0;130;1;2;967.4;1013.4;0;99;2.6;2.7;2.6;2.6;2.8;2.7;0
201301100700;0;80;1;2;967.6;1013.7;0;99;2.5;2.6;2.6;2.5;2.8;2.6;0
201301100800;0;40;0;2;967.4;1013.4;21;99;2.6;2.7;3.4;2.6;2.7;2.6;0
201301100900;0;320;2;3;967.6;1013.6;61;96;2.7;3.1;4.7;2.5;3.2;2.6;0
201301101000;0;20;1;2;967.1;1012.9;135;92;3;3.7;6.2;2.5;3.7;3;0
201301101100;0;140;1;3;966.6;1012.3;124;91;3.4;4.2;7.1;2.9;4.2;3.6;0
201301101200;0;30;2;3;965.8;1011.4;207;84;3.4;4.9;7.2;2.5;5;4;0
201301101300;0;190;1;4;965.4;1011;158;85;3.3;4.7;6.5;2.4;5.5;4.7;0
201301101400;0;170;1;4;965.2;1010.9;94;88;3.2;4.3;4.6;2.5;4.8;4.2;0
201301101500;0;150;1;3;964.8;1010.5;36;91;2.9;3.7;3.3;2.4;4.3;3.7;0
201301101600;0;150;1;2;964.8;1010.6;2;93;2.9;3.5;2.3;2.5;3.7;3.4;0
201301101700;0;150;1;3;964.6;1010.4;0;94;2.7;3.3;2.9;2.4;3.5;3.3;0
201301101800;0;220;1;3;964.6;1010.4;0;95;2.9;3.3;3.1;2.6;3.4;3.2;0
201301101900;0;60;1;2;964.6;1010.4;0;96;2.9;3.3;3.1;2.7;3.3;3.2;0
201301102000;0;40;2;3;964.4;1010.2;0;97;2.9;3.1;3;2.7;3.3;3.1;0
201301102100;0;30;2;4;964.4;1010.3;0;96;2.5;2.9;2.8;2.3;3.1;2.9;0
201301102200;0;30;1;2;964.4;1010.3;0;96;2.4;2.8;2.8;2.2;2.9;2.8;0
201301102300;0;20;1;2;964;1009.9;0;96;2.4;2.8;2.7;2.2;2.8;2.8;0
201301110000;0;70;1;2;963.6;1009.5;0;96;2.2;2.6;2.6;2;2.8;2.6;0
201301110100;0;320;2;3;963.4;1009.3;0;96;2.1;2.5;2.5;1.9;2.7;2.5;0
201301110200;0;360;1;3;963.1;1009;0;97;1.9;2.1;1.2;1.7;2.6;2.1;0
201301110300;0;150;1;2;962.7;1008.6;0;96;1.9;2.3;1.4;1.7;2.3;2;0
201301110400;0;160;1;3;962.6;1008.5;0;95;1.8;2.2;2.1;1.5;2.4;2.2;0
201301110500;0;290;1;2;962.7;1008.6;0;95;1.6;2;2;1.3;2.2;2;0
201301110600;0;320;1;3;962.9;1008.9;0;96;1.1;1.5;1.4;0.9;2;1.4;0
201301110700;0;330;1;4;963;1009.2;1;99;0.5;0.6;0.7;0.5;1.4;0.6;0
201301110800;0;350;1;3;963.7;1009.9;27;97;0.7;0.9;1.7;0.5;0.9;0.5;0
201301110900;0;290;1;2;963.6;1009.6;164;89;0.8;1.8;3.8;0.2;2;0.8;21.4
201301111000;0;170;1;3;964;1009.8;240;83;1.6;3.2;3.5;0.6;3.4;1.9;60
201301111100;0;210;1;5;963.8;1009.7;276;88;1.3;2.4;2.9;0.6;3.3;2.1;58.5
201301111200;0;180;1;5;963.8;1009.7;249;89;1.3;2.3;4;0.7;2.6;1.6;34.7
201301111300;0;180;1;5;964.4;1010.2;233;86;1.7;3;5.1;0.9;3.2;1.7;33.3
201301111400;0;310;0;3;964.9;1010.8;118;88;1.7;2.8;2.3;1;3.2;2.7;23.5
201301111500;0;140;1;3;966;1012;42;89;1.7;2.7;2.7;1.1;2.9;2.6;2.2
201301111600;0;80;1;6;967;1013.1;1;83;0.8;2.4;2.1;-0.2;2.7;2.4;0
201301111700;0;120;1;5;967.9;1014.1;0;86;0.5;1.8;1.6;-0.3;2.4;1.8;0
201301111800;0;150;2;4;968.7;1015.1;0;81;-0.5;1.3;1.3;-1.6;1.7;1.3;0
201301111900;0;130;1;5;969.5;1016;0;81;-0.9;0.9;0.1;-2;1.3;0.8;0
201301112000;0;120;1;5;970.2;1016.8;0;83;-1;0.6;-0.3;-1.9;0.9;0.6;0
201301112100;0;140;2;5;971;1017.7;0;85;-1.6;-0.2;-0.8;-2.4;0.5;-0.2;0
201301112200;0;150;3;4;971.5;1018.3;0;84;-1.9;-0.5;-0.6;-2.8;-0.2;-0.5;0
201301112300;0;150;2;5;971.6;1018.5;0;80;-2.8;-0.9;-1.1;-3.9;-0.5;-0.9;0
201301120000;0;140;2;3;971.8;1018.8;0;79;-3.1;-1.2;-1.8;-4.3;-0.8;-1.3;0
201301120100;0;120;1;3;971.9;1018.9;0;78;-3.3;-1.2;-1.4;-4.5;-1.1;-1.2;0
201301120200;0;100;2;3;972;1019;0;78;-3.2;-1.1;-1.2;-4.4;-1;-1.2;0
